LocusID	snpID	Chr	BP	NearGene	GeneName	GeneStrand	GeneStart	GeneEnd	GeneWidth	dist2Gene	genotypes_p	FLK_p
98522	98522_63	14	34667589	ENSOCUG00000007855	PXYLP1	+	34675899	34713540	37641	8310	2.7121550008420247e-5	6.372802929810462e-8
50206	50206_34	GL018713	365938	ENSOCUG00000009435	XKR5	+	353208	377842	24634	0	2.7767991092525804e-4	1.4717066409986046e-7
48659	48659_40	GL018717	314346	ENSOCUG00000001691	ATL3	+	253125	301887	48762	12459	4.050034780362491e-4	1.5552037898602933e-6
48659	48659_40	GL018717	314346	ENSOCUG00000000596	PLA2G16	+	311846	343261	31415	0	4.050034780362491e-4	1.5552037898602933e-6
72765	72765_47	18	25311139	ENSOCUG00000011533	RHOBTB1	+	25194166	25311152	116986	0	4.1571865805882994e-5	2.3694384377881406e-6
72766	72766_17	18	25311176	ENSOCUG00000011533	RHOBTB1	+	25194166	25311152	116986	24	4.1571865805882994e-5	2.3694384377881406e-6
72765	72765_61	18	25311153	ENSOCUG00000011533	RHOBTB1	+	25194166	25311152	116986	1	5.226766252907078e-5	2.5410299572259376e-6
68946	68946_78	19	32825478	ENSOCUG00000008478	STXBP4	-	32821633	32917534	95901	0	1.031535421794733e-4	3.433269055386212e-6
53831	53831_42	GL018704	4853505	ENSOCUG00000007192	ZSCAN20	-	4810401	4848765	38364	4740	5.702039145035089e-4	4.16855176188502e-6
53831	53831_42	GL018704	4853505	ENSOCUG00000021564	NA	-	4851548	4854283	2735	0	5.702039145035089e-4	4.16855176188502e-6
53831	53831_42	GL018704	4853505	ENSOCUG00000013332	PHC2	+	4889074	5011916	122842	35569	5.702039145035089e-4	4.16855176188502e-6
211772	211772_50	9	89862459	ENSOCUG00000024842	CTIF	+	89587408	89874454	287046	0	7.953565433344372e-4	4.258854885530461e-6
235050	235050_26	GL018723	261534	ENSOCUG00000022269	CRYBB1	-	207348	222038	14690	39496	0.015580286334679096	5.5131559471011116e-6
235050	235050_26	GL018723	261534	ENSOCUG00000024392	CRYBA4	+	225578	230388	4810	31146	0.015580286334679096	5.5131559471011116e-6
204810	204810_79	GL018802	439482	ENSOCUG00000026164	CAMK1	+	407046	413620	6574	25862	1.3623617627689887e-4	6.1108275200005835e-6
204810	204810_79	GL018802	439482	ENSOCUG00000015977	OGG1	-	413717	417071	3354	22411	1.3623617627689887e-4	6.1108275200005835e-6
204810	204810_79	GL018802	439482	ENSOCUG00000010099	BRPF1	-	419739	432882	13143	6600	1.3623617627689887e-4	6.1108275200005835e-6
204810	204810_79	GL018802	439482	ENSOCUG00000010092	CPNE9	-	433792	452297	18505	0	1.3623617627689887e-4	6.1108275200005835e-6
204810	204810_79	GL018802	439482	ENSOCUG00000010088	MTMR14	-	453447	494138	40691	13965	1.3623617627689887e-4	6.1108275200005835e-6
147965	147965_18	7	131862327	ENSOCUG00000011060	MYO1B	+	131681525	131871528	190003	0	6.31243892085706e-6	0.0015502437996753882
214772	214772_69	2	93561889	ENSOCUG00000003383	MGAT4A	+	93435795	93564052	128257	0	9.79257194206111e-4	9.254722255214176e-6
214772	214772_69	2	93561889	ENSOCUG00000003378	UNC50	-	93552023	93559911	7888	1978	9.79257194206111e-4	9.254722255214176e-6
214772	214772_69	2	93561889	ENSOCUG00000003365	INPP4A	-	93575803	93716698	140895	13914	9.79257194206111e-4	9.254722255214176e-6
158509	158509_87	5	12946260	ENSOCUG00000021126	NA	+	12908617	12909375	758	36885	1.3651836621966031e-5	0.015540757713177422
158509	158509_87	5	12946260	ENSOCUG00000021209	NA	+	12927625	12929020	1395	17240	1.3651836621966031e-5	0.015540757713177422
158509	158509_87	5	12946260	ENSOCUG00000029235	NA	+	12935094	12936561	1467	9699	1.3651836621966031e-5	0.015540757713177422
158509	158509_87	5	12946260	ENSOCUG00000002193	NUP93	+	12967126	13092338	125212	20866	1.3651836621966031e-5	0.015540757713177422
200447	200447_80	1	88290774	ENSOCUG00000010492	ETS1	+	88323119	88455941	132822	32345	0.0010355190652915547	1.3904093210670432e-5
167107	167107_60	4	84940214	ENSOCUG00000006133	PLA2G6	+	84867692	84908887	41195	31327	1.910718930318811e-4	1.563910898405574e-5
167107	167107_60	4	84940214	ENSOCUG00000017755	MPST	-	84923432	84926991	3559	13223	1.910718930318811e-4	1.563910898405574e-5
167107	167107_60	4	84940214	ENSOCUG00000025894	TST	+	84930732	84935322	4590	4892	1.910718930318811e-4	1.563910898405574e-5
167107	167107_60	4	84940214	ENSOCUG00000017054	TEX33	+	84939345	84952016	12671	0	1.910718930318811e-4	1.563910898405574e-5
167107	167107_60	4	84940214	ENSOCUG00000027344	CSF2RB	-	84973862	84996120	22258	33648	1.910718930318811e-4	1.563910898405574e-5
167108	167108_14	4	84940235	ENSOCUG00000006133	PLA2G6	+	84867692	84908887	41195	31348	2.4164907158907983e-4	1.640273048075791e-5
167108	167108_14	4	84940235	ENSOCUG00000017755	MPST	-	84923432	84926991	3559	13244	2.4164907158907983e-4	1.640273048075791e-5
167108	167108_14	4	84940235	ENSOCUG00000025894	TST	+	84930732	84935322	4590	4913	2.4164907158907983e-4	1.640273048075791e-5
