Chromosome	RefSeq	GenBank	Ensembl	Length
chr1	NC_013669.1	CM000790	1	194850757
chr2	NC_013670.1	CM000791	2	174332312
chr3	NC_013671.1	CM000792	3	155691105
chr4	NC_013672.1	CM000793	4	91394100
chr5	NC_013673.1	CM000794	5	37992211
chr6	NC_013674.1	CM000795	6	27502587
chr7	NC_013675.1	CM000796	7	173684459
chr8	NC_013676.1	CM000797	8	111795807
chr9	NC_013677.1	CM000798	9	116251907
chr10	NC_013678.1	CM000799	10	47997241
chr11	NC_013679.1	CM000800	11	87554214
chr12	NC_013680.1	CM000801	12	155355395
chr13	NC_013681.1	CM000802	13	143360832
chr14	NC_013682.1	CM000803	14	163896628
chr15	NC_013683.1	CM000804	15	109054052
chr16	NC_013684.1	CM000805	16	84478945
chr17	NC_013685.1	CM000806	17	85008467
chr18	NC_013686.1	CM000807	18	69800736
chr19	NC_013687.1	CM000808	19	57279966
chr20	NC_013688.1	CM000809	20	33191332
chr21	NC_013689.1	CM000810	21	15578276
chrX	NC_013690.1	CM000811	X	111700775
chrMT	NC_001913.1	AJ001588	MT	NA
chrUn0001	NW_003159325.1	GL018699	GL018699	14171072
chrUn0002	NW_003159326.1	GL018700	GL018700	13461802
chrUn0003	NW_003159327.1	GL018701	GL018701	8543514
chrUn0004	NW_003159328.1	GL018702	GL018702	7969563
chrUn0005	NW_003159329.1	GL018703	GL018703	6940555
chrUn0006	NW_003159330.1	GL018704	GL018704	6663442
chrUn0007	NW_003159331.1	GL018705	GL018705	6124611
chrUn0008	NW_003159332.1	GL018706	GL018706	5787221
chrUn0009	NW_003159333.1	GL018707	GL018707	5429729
chrUn0010	NW_003159334.1	GL018708	GL018708	4921390
chrUn0011	NW_003159335.1	GL018709	GL018709	4836177
chrUn0012	NW_003159336.1	GL018710	GL018710	4701477
chrUn0013	NW_003159337.1	GL018711	GL018711	4487093
chrUn0014	NW_003159338.1	GL018712	GL018712	4460581
chrUn0015	NW_003159339.1	GL018713	GL018713	4375787
chrUn0016	NW_003159340.1	GL018714	GL018714	4100111
chrUn0017	NW_003159341.1	GL018715	GL018715	4024058
chrUn0018	NW_003159342.1	GL018716	GL018716	3946108
chrUn0019	NW_003159343.1	GL018717	GL018717	3992494
chrUn0020	NW_003159344.1	GL018718	GL018718	3916169
chrUn0021	NW_003159345.1	GL018719	GL018719	4028765
chrUn0022	NW_003159346.1	GL018720	GL018720	3856598
chrUn0023	NW_003159347.1	GL018721	GL018721	3419770
chrUn0024	NW_003159348.1	GL018722	GL018722	3399777
chrUn0025	NW_003159349.1	GL018723	GL018723	3524111
chrUn0026	NW_003159350.1	GL018724	GL018724	3456190
chrUn0027	NW_003159351.1	GL018725	GL018725	3407339
chrUn0028	NW_003159352.1	GL018726	GL018726	3196474
chrUn0029	NW_003159353.1	GL018727	GL018727	2880289
chrUn0030	NW_003159354.1	GL018728	GL018728	2762230
chrUn0031	NW_003159355.1	GL018729	GL018729	2696808
chrUn0032	NW_003159356.1	GL018730	GL018730	2831799
chrUn0033	NW_003159357.1	GL018731	GL018731	2715061
chrUn0034	NW_003159358.1	GL018732	GL018732	2624217
chrUn0035	NW_003159359.1	GL018733	GL018733	2610161
